feature,value,label,sample_count,risk_count,risk_rate
sex,0,女性,97,25,25.77
sex,1,男性,206,114,55.34
cp,1,典型心絞痛,23,7,30.43
cp,2,非典型心絞痛,50,9,18.0
cp,3,非心絞痛疼痛,86,18,20.93
cp,4,無症狀,144,105,72.92
fbs,0,未大於120,258,117,45.35
fbs,1,大於120,45,22,48.89
restecg,0,正常,151,56,37.09
restecg,1,ST-T異常,4,3,75.0
restecg,2,左心室肥大可能,148,80,54.05
exang,0,否,204,63,30.88
exang,1,是,99,76,76.77
slope,1,上升,142,36,25.35
slope,2,平坦,140,91,65.0
slope,3,下降,21,12,57.14
ca,0,0,180,47,26.11
ca,1,1,65,44,67.69
ca,2,2,38,31,81.58
ca,3,3,20,17,85.0
thal,3,正常,168,38,22.62
thal,6,固定缺陷,18,12,66.67
thal,7,可逆缺陷,117,89,76.07
