feature,age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal,num,target,ca_was_missing,thal_was_missing
age,1.0,-0.0975422837792451,0.10413895433792279,0.2849459193136901,0.20895026994678226,0.1185302422169632,0.14886759109352665,-0.3938058059868204,0.09166077150494455,0.2038054813870624,0.16176955852148017,0.36532319693991205,0.12830299991661545,0.22285341927595312,0.22312029469045103,-0.0857364762057421,-0.017515021215298465
sex,-0.0975422837792451,1.0,0.01008388822634983,-0.06445589795334801,-0.1999146826120361,0.04786212108341732,0.021647353896911838,-0.04866329645392372,0.14620148645646489,0.10217264433513329,0.037532881518455505,0.08604788189523867,0.3805806903636331,0.22446851351190622,0.2768163163920976,0.07936822329075617,-0.03142742328882017
cp,0.10413895433792279,0.01008388822634983,1.0,-0.03607724521041049,0.07231888433688205,-0.03997498957568388,0.06750523263696225,-0.33442170588648523,0.38405952636486906,0.20227654057937272,0.15205041669796923,0.2331174616991204,0.2620889214316222,0.40707542149829684,0.41444638790514166,-0.019115373939932772,0.02904820221333286
trestbps,0.2849459193136901,-0.06445589795334801,-0.03607724521041049,1.0,0.13012010849269193,0.1753402268745721,0.14656038705331706,-0.04535087935834351,0.06476245555582553,0.1891709707903292,0.1173815842212724,0.09752821237848384,0.13442444132997713,0.15775407626368732,0.15082544959450633,0.010270573868791967,-0.017117578376971657
chol,0.20895026994678226,-0.1999146826120361,0.07231888433688205,0.13012010849269193,1.0,0.009841023043464793,0.17104253199211236,-0.0034318315180257167,0.06131037688875967,0.04656398918044739,-0.004061834135632584,0.12372576088569352,0.01835110609639097,0.07090875545132247,0.08516361139953123,-0.06811840789976083,-0.05786253309351567
fbs,0.1185302422169632,0.04786212108341732,-0.03997498957568388,0.1753402268745721,0.009841023043464793,1.0,0.0695644970814045,-0.007854146676875973,0.025665147202126145,0.005747223459644308,0.059894178290417995,0.14076385857201837,0.06462476326849251,0.059186093176192056,0.025263666975726132,0.03300831930193706,0.08056849439458827
restecg,0.14886759109352665,0.021647353896911838,0.06750523263696225,0.14656038705331706,0.17104253199211236,0.0695644970814045,1.0,-0.08338943280752731,0.08486695269604376,0.11413281320832516,0.1339456896956328,0.13174877201346497,0.024325470434971526,0.1836963481036797,0.16920188657375607,-0.05706706268709036,0.000812489335089554
thalach,-0.3938058059868204,-0.04866329645392372,-0.33442170588648523,-0.04535087935834351,-0.0034318315180257167,-0.007854146676875973,-0.08338943280752731,1.0,-0.3781034244549705,-0.3430853918479221,-0.3856011620787402,-0.2656988256512581,-0.2741420058756236,-0.4150404617350781,-0.4171668769579602,0.03870794573539009,-0.050353669003724996
exang,0.09166077150494455,0.14620148645646489,0.38405952636486906,0.06476245555582553,0.06131037688875967,0.025665147202126145,0.08486695269604376,-0.3781034244549705,1.0,0.2882228077827652,0.2577483685301669,0.14578813372195135,0.32524030157733846,0.39705730162267466,0.4318939871885016,-0.018922768563073174,0.0301133015016747
oldpeak,0.2038054813870624,0.10217264433513329,0.20227654057937272,0.1891709707903292,0.04656398918044739,0.005747223459644308,0.11413281320832516,-0.3430853918479221,0.2882228077827652,1.0,0.5775368167291407,0.3010666636175889,0.3424045506972924,0.504091973033799,0.4245101833416612,-0.0912609614038181,-0.037945863403045114
slope,0.16176955852148017,0.037532881518455505,0.15205041669796923,0.1173815842212724,-0.004061834135632584,0.059894178290417995,0.1339456896956328,-0.3856011620787402,0.2577483685301669,0.5775368167291407,1.0,0.11080337110306326,0.28679182831780553,0.3779566027337863,0.33921315948366715,-0.01892471441343319,-0.013337262010217558
ca,0.36532319693991205,0.08604788189523867,0.2331174616991204,0.09752821237848384,0.12372576088569352,0.14076385857201837,0.13174877201346497,-0.2656988256512581,0.14578813372195135,0.3010666636175889,0.11080337110306326,1.0,0.2554461179791748,0.5209680922329954,0.4600330256132092,-0.08225157983388068,-0.057967103071320296
thal,0.12830299991661545,0.3805806903636331,0.2620889214316222,0.13442444132997713,0.01835110609639097,0.06462476326849251,0.024325470434971526,-0.2741420058756236,0.32524030157733846,0.3424045506972924,0.28679182831780553,0.2554461179791748,1.0,0.5071546721818001,0.5220565142113133,0.01656949921181031,-0.0725667959738527
num,0.22285341927595312,0.22446851351190622,0.40707542149829684,0.15775407626368732,0.07090875545132247,0.059186093176192056,0.1836963481036797,-0.4150404617350781,0.39705730162267466,0.504091973033799,0.3779566027337863,0.5209680922329954,0.5071546721818001,1.0,0.8300806713408232,-0.064813705126271,0.00416747293790697
target,0.22312029469045103,0.2768163163920976,0.41444638790514166,0.15082544959450633,0.08516361139953123,0.025263666975726132,0.16920188657375607,-0.4171668769579602,0.4318939871885016,0.4245101833416612,0.33921315948366715,0.4600330256132092,0.5220565142113133,0.8300806713408232,1.0,-0.04845355062556141,0.006748580596138298
ca_was_missing,-0.0857364762057421,0.07936822329075617,-0.019115373939932772,0.010270573868791967,-0.06811840789976083,0.03300831930193706,-0.05706706268709036,0.03870794573539009,-0.018922768563073174,-0.0912609614038181,-0.01892471441343319,-0.08225157983388068,0.01656949921181031,-0.064813705126271,-0.04845355062556141,1.0,-0.00942814279453721
thal_was_missing,-0.017515021215298465,-0.03142742328882017,0.02904820221333286,-0.017117578376971657,-0.05786253309351567,0.08056849439458827,0.000812489335089554,-0.050353669003724996,0.0301133015016747,-0.037945863403045114,-0.013337262010217558,-0.057967103071320296,-0.0725667959738527,0.00416747293790697,0.006748580596138298,-0.00942814279453721,1.0
