column_name,missing_count,missing_rate,dtype,unique_count
source_dataset,0,0.0,object,1
patient_id,0,0.0,object,303
age,0,0.0,int64,41
sex,0,0.0,int64,2
cp,0,0.0,int64,4
trestbps,0,0.0,int64,50
chol,0,0.0,int64,152
fbs,0,0.0,int64,2
restecg,0,0.0,int64,3
thalach,0,0.0,int64,91
exang,0,0.0,int64,2
oldpeak,0,0.0,float64,40
slope,0,0.0,int64,3
ca,0,0.0,int64,4
thal,0,0.0,int64,3
num,0,0.0,int64,5
target,0,0.0,int64,2
ca_was_missing,0,0.0,int64,2
thal_was_missing,0,0.0,int64,2
sex_label,0,0.0,object,2
cp_label,0,0.0,object,4
fbs_label,0,0.0,object,2
restecg_label,0,0.0,object,3
exang_label,0,0.0,object,2
slope_label,0,0.0,object,3
thal_label,0,0.0,object,3
target_label,0,0.0,object,2
age_group,0,0.0,object,5
bp_group,0,0.0,object,4
chol_group,0,0.0,object,3
