column_name,dtype,missing_count,missing_rate,unique_count
source_dataset,object,0,0.0,1
patient_id,object,0,0.0,303
age,int64,0,0.0,41
sex,int64,0,0.0,2
cp,int64,0,0.0,4
trestbps,int64,0,0.0,50
chol,int64,0,0.0,152
fbs,int64,0,0.0,2
restecg,int64,0,0.0,3
thalach,int64,0,0.0,91
exang,int64,0,0.0,2
oldpeak,float64,0,0.0,40
slope,int64,0,0.0,3
ca,int64,0,0.0,4
thal,int64,0,0.0,3
num,int64,0,0.0,5
target,int64,0,0.0,2
ca_was_missing,int64,0,0.0,2
thal_was_missing,int64,0,0.0,2
sex_label,object,0,0.0,2
cp_label,object,0,0.0,4
fbs_label,object,0,0.0,2
restecg_label,object,0,0.0,3
exang_label,object,0,0.0,2
slope_label,object,0,0.0,3
thal_label,object,0,0.0,3
target_label,object,0,0.0,2
age_group,object,0,0.0,5
bp_group,object,0,0.0,4
chol_group,object,0,0.0,3
